SPECIES,GENERAL NAME,SPECIFIC NAME
Chinchipe Spinetail,Synallaxis,chinchipensis
Moss-backed Sparrow,Arremon,dorbignii
Yungas Sparrow,Rhynchospiza,dabbenei
Spotted Berrypecker,Rhamphocharis,piperata
Little Spotted Kiwi,Apteryx,owenii
Great Spotted Kiwi,Apteryx,haastii
Spotted Nothura,Nothura,maculosa
Spotted Whistling Duck,Dendrocygna,guttata
Spur-winged Goose,Plectropterus,gambensis
Indian Spot-billed Duck,Anas,poecilorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Spectacled Eider,Somateria,fischeri
Speckled Chachalaca,Ortalis,guttata
Spix's Guan,Penelope,jacquacu
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-winged Wood Quail,Odontophorus,capueira
Spotted Wood Quail,Odontophorus,guttatus
