SPECIES,GENERAL NAME,SPECIFIC NAME
Chinchipe Spinetail,Synallaxis,chinchipensis
Moss-backed Sparrow,Arremon,dorbignii
Chinchipe Spinetail,Synallaxis,chinchipensis
Chinchipe Spinetail,Synallaxis,chinchipensis
Chinchipe Spinetail,Synallaxis,chinchipensis
Chinchipe Spinetail,Synallaxis,chinchipensis
Moss-backed Sparrow,Arremon,dorbignii
Yungas Sparrow,Rhynchospiza,dabbenei
Moss-backed Sparrow,Arremon,dorbignii
Yungas Sparrow,Rhynchospiza,dabbenei
Chinchipe Spinetail,Synallaxis,chinchipensis
Chinchipe Spinetail,Synallaxis,chinchipensis
Chinchipe Spinetail,Synallaxis,chinchipensis
Chinchipe Spinetail,Synallaxis,chinchipensis
Chinchipe Spinetail,Synallaxis,chinchipensis
Yungas Sparrow,Rhynchospiza,dabbenei
Chinchipe Spinetail,Synallaxis,chinchipensis
Chinchipe Spinetail,Synallaxis,chinchipensis
Spotted Berrypecker,Rhamphocharis,piperata
Moss-backed Sparrow,Arremon,dorbignii
Chinchipe Spinetail,Synallaxis,chinchipensis
Chinchipe Spinetail,Synallaxis,chinchipensis
Chinchipe Spinetail,Synallaxis,chinchipensis
Little Spotted Kiwi,Apteryx,owenii
Little Spotted Kiwi,Apteryx,owenii
Little Spotted Kiwi,Apteryx,owenii
Little Spotted Kiwi,Apteryx,owenii
Little Spotted Kiwi,Apteryx,owenii
Little Spotted Kiwi,Apteryx,owenii
Great Spotted Kiwi,Apteryx,haastii
Great Spotted Kiwi,Apteryx,haastii
Great Spotted Kiwi,Apteryx,haastii
Great Spotted Kiwi,Apteryx,haastii
Great Spotted Kiwi,Apteryx,haastii
Great Spotted Kiwi,Apteryx,haastii
Great Spotted Kiwi,Apteryx,haastii
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Nothura,Nothura,maculosa
Spotted Whistling Duck,Dendrocygna,guttata
Spotted Whistling Duck,Dendrocygna,guttata
Spotted Whistling Duck,Dendrocygna,guttata
Spotted Whistling Duck,Dendrocygna,guttata
Spotted Whistling Duck,Dendrocygna,guttata
Spotted Whistling Duck,Dendrocygna,guttata
Spotted Whistling Duck,Dendrocygna,guttata
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Spur-winged Goose,Plectropterus,gambensis
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Indian Spot-billed Duck,Anas,poecilorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Eastern Spot-billed Duck,Anas,zonorhyncha
Spectacled Eider,Somateria,fischeri
Spectacled Eider,Somateria,fischeri
Spectacled Eider,Somateria,fischeri
Spectacled Eider,Somateria,fischeri
Spectacled Eider,Somateria,fischeri
Spectacled Eider,Somateria,fischeri
Spectacled Eider,Somateria,fischeri
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Speckled Chachalaca,Ortalis,guttata
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spix's Guan,Penelope,jacquacu
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-bellied Bobwhite,Colinus,leucopogon
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
Spot-winged Wood Quail,Odontophorus,capueira
